ds,y,hour,is_weekend,instances_count,instances
2025-11-14 00:43:00,0.3270348517080723,0,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 00:44:00,0.3263891490621162,0,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 00:45:00,0.3254873224303532,0,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 00:46:00,0.3256720359608975,0,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 00:47:00,0.3259797593933131,0,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 00:48:00,0.3256623858993755,0,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 00:49:00,0.326009731349099,0,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 00:50:00,0.3262313421736979,0,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 00:51:00,0.3264414296895382,0,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 00:52:00,0.3250773083458046,0,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 00:53:00,0.32514525613193296,0,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 00:54:00,0.3250737889116025,0,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 00:55:00,0.3255267741524578,0,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 00:56:00,0.3252950023807269,0,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 00:57:00,0.32635764444950033,0,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 00:58:00,0.3263803504766109,0,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 00:59:00,0.32595949426411697,0,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:00:00,0.3248151672628134,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:01:00,0.3250206568081638,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:02:00,0.32454519260046905,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:03:00,0.3253184463537186,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:04:00,0.3243288609271734,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:05:00,0.3278589101969816,1,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 01:06:00,0.32751428947051137,1,0,6,"host01, host02, host03, master01, master02, rpi01"
